"GSS_CODE","proportion_brownfield"
"E05000378",0
"E05000376",0.0542870315042906
"E05000371",0.0112011890508026
"E05000374",0.00221924370762449
"E05000377",0
"E05000239",0.00344567240336914
"E05000231",0.0180651251096775
"E05000236",0.0126289258813247
"E05000245",0
"E05000249",0.00303761769580201
"E05000235",0.0159310285927235
"E05000247",0
"E05000238",0.00320925745906308
"E05000242",0
"E05000244",0
"E05000232",0.00193072128202086
"E05000241",0
"E05000240",0.0159040098786957
"E05000248",0
"E05000237",0
"E05000233",0.002695123372181
"E05000234",0
"E05000243",0
"E05000246",0.0293752469266078
"E05000272",0.00260218584753684
"E05000271",0
"E05000270",0.0101547780006913
"E05000267",0.00926096798083526
"E05000269",0.0148687726753912
"E05000279",0.00109970982846907
"E05000274",0.00947938545698708
"E05000273",0.109982285359155
"E05000266",0.0304139883520043
"E05000275",0.284702384227186
"E05000284",0.00956524922587182
"E05000277",0.11612991302424
"E05000278",0.0199053590627443
"E05000280",0.0987891949565067
"E05000282",0.00466569939830562
"E05000281",0.0729170737387525
"E05000283",0.00101650575567485
"E05000268",0
"E05000276",0.0362242823286805
"E05000491",0.104685775496369
"E05000477",0.183180660348402
"E05000475",0.0954319084171759
"E05000482",0.123532464330238
"E05000492",0.487256596537297
"E05000478",0.0704987693749351
"E05000479",0.000582828658988833
"E05000490",0.00103385759405365
"E05000494",0
"E05000489",0.00183757262727694
"E05000484",0.0241676493780564
"E05000476",0.00714864503491491
"E05000480",0.0265482567475352
"E05000486",0
"E05000485",0
"E05000481",0
"E05000493",0
"E05000483",0.00152363826501825
"E05000488",0
"E05000487",0.0079673173215597
"E05000032",0.0562942257053697
"E05000039",0.132923309010732
"E05000038",0.0527257606259228
"E05000041",0.0150654854227989
"E05000026",0.0421092105175177
"E05000035",0.00695847851828981
"E05000031",0.00482572438518957
"E05000033",0.040943273587296
"E05000036",0.0123117338535126
"E05000028",0.00314303484227103
"E05000027",0.00945145589888343
"E05000040",0.107867350501588
"E05000034",0
"E05000042",0.20383465649494
"E05000030",0.000585229845440299
"E05000029",0
"E05000037",0
"E09000001",0.0175490304188867
