"GSS_CODE","Road_Lnight_London_>=70.0","Road_LAeq_16h_London_>=75.0","Road_Lden_London_>=75.0","Rail_Lnight_London_50.0-54.9","Road_Lnight_London_50.0-54.9","Rail_LAeq_16h_London_55.0-59.9","Rail_Lnight_London_55.0-59.9","Rail_Lden_London_55.0-59.9","Road_Lnight_London_55.0-59.9","Road_LAeq_16h_London_55.0-59.9","Road_Lden_London_55.0-59.9","Rail_Lden_London_60.0-64.9","Rail_LAeq_16h_London_60.0-64.9","Rail_Lnight_London_60.0-64.9","Road_Lnight_London_60.0-64.9","Road_LAeq_16h_London_60.0-64.9","Road_Lden_London_60.0-64.9","Road_Lnight_London_65.0-69.9","Rail_Lnight_London_65.0-69.9","Rail_Lden_London_65.0-69.9","Rail_LAeq_16h_London_65.0-69.9","Road_LAeq_16h_London_65.0-69.9","Road_Lden_London_65.0-69.9","Rail_Lden_London_70.0-74.9","Road_LAeq_16h_London_70.0-74.9","Road_Lden_London_70.0-74.9","Rail_Lden_London_>=75.0","Rail_LAeq_16h_London_70.0-74.9","Rail_Lnight_London_>=70.0","Rail_LAeq_16h_London_>=75.0"
"E05000101",0,0.00160016694825507,0.00637067934011035,0.0409049253382504,0.060965720406553,0.0412818555093158,0.0519128567701465,0.059056963595644,0.0472758797887675,0.0770935962753954,0.0926538555905525,0.0386691434292311,0.0473279578435343,0.00129093385267108,0.0383107054243342,0.0473865313279591,0.0536425193224826,0.0077016363983955,0.00157226960840647,0.0415205848415768,0.0142232819938712,0.0409146597691951,0.045508555827382,0.00117181152300785,0.0316380261591006,0.0366468651649617,0.0070015411365448,0.00251486083073899,0.00616605244924795,0.00471871287055767
"E05000085",0,0.000289883168240097,0.00665929436362949,0.0174476271568191,0.0480905273204574,0.0161633153548307,0.0090213968549285,0.031342171898293,0.0228342961201018,0.0693000578514639,0.093145142494582,0.0118909938758154,0.00868849403849068,0.0156435147228095,0.031696916609076,0.0291485855296662,0.0408035902632248,0.00776937721752113,0.01467225980881,0.011602413810917,0.0177532288102499,0.0248204998778353,0.0220247220647021,0.016303235773294,0.0278243321706857,0.0306440756056148,0.0232649648488123,0.0151763684925672,0.015569670420372,0.0123634510744563
"E05000092",0,0.00183669130587939,0.00926033767772056,0.0218440929091973,0.0465747140771908,0.0315100904733629,0.0414747903254558,0.017710782377059,0.0269217952776839,0.0448661057302623,0.0489186186934399,0.0317855298212153,0.0613824351774507,0.0583462151214437,0.0351871982712141,0.0378190841808487,0.0441980332284559,0.0113825621293036,0.00259805932935053,0.0628525490872809,0.021492751415573,0.0230660830065319,0.024513585322574,0.0180234785279149,0.0372329042698385,0.0360651133824327,0.00561733336003389,0.00287536732538821,0.00424678704127583,0.0030298925488422
"E05000091",0,0.000448951331161206,0.00990571612457326,0.0241350532185589,0.0477430206663399,0.0309112897202202,0.0302447084092409,0.0247701370928199,0.0294421939177394,0.0522579919808801,0.05690071430769,0.0350006390610594,0.00797213332475763,0.00498654856959888,0.0531874610820948,0.0352906097809312,0.0435099564577356,0.0139058851214145,0.0130673033119172,0.00701978353063542,0.00562527600872672,0.0302216210470761,0.0280052453308039,0.00937693814507609,0.0524765682466518,0.0547639426562694,0.0177023051323626,0.0133533495365746,0.0116050158893551,0.00867778089899446
"E05000105",0,6.45972878096046e-05,0.00411177984745948,0.00818898610931587,0.0250491624409208,0.00564998177259812,0.0285362914043014,0.00646905368490901,0.0175086381264389,0.0271692884218675,0.0306011171881572,0.00953574956543267,0.032062455564278,0,0.0294723790025501,0.0201469591068352,0.0249596398977345,0.0058419983846317,0,0.0267373469336326,0.00186691547176623,0.0147718439126333,0.0153162471111299,0,0.0300230691449891,0.0304920273735455,0,0,0,0
"E05000098",0,0,0.000462157037971529,0.0303239597162307,0.00598610448552114,0.0323658015830369,0.0322536168454095,0.0392962237060384,0.00556039453417935,0.00647817675355274,0.00923677920324212,0.0318069725611499,0.0331629311467267,0.0510206407535987,0.00615089004745489,0.00556161064071675,0.00578904384369479,0.000497645096261009,0.0271830593365789,0.0342126054256329,0.0427949547209756,0.0051056400844556,0.00511196138422258,0.0442813741158295,0.00473443662714195,0.00588143080056372,0.0569926995393642,0.0315632992612001,0.0428317653116885,0.0300710709982342
"E05000087",0,0,0.000378897808450408,0.02057156308879,0.0109778719314646,0.019153135414926,0.0219812351525424,0.0218595885516417,0.0201722299477295,0.0130329886463081,0.0161502790618958,0.0172963886603824,0.0256942778063142,0.0154927170557494,0.010208602811949,0.0148774769662082,0.0111465595080313,0.000662766596124986,5.81795731746275e-05,0.021287661196238,0.0112898497305793,0.0182423721223522,0.0188869234502001,0.0110413171840254,0.00309340075523872,0.0091625402231009,0,0,0,0
"E05000094",0,0.00521994060332826,0.0104105844250563,0.0350884760381131,0.0212414405560168,0.029778734056876,0.0261970628652483,0.0451090322909048,0.0144370698684185,0.0217186282316626,0.0268619573372789,0.0273733821224738,0.0296480299794663,0.0318912485566412,0.0220831798333961,0.016920628806118,0.0187085570241995,0.0109926152522484,0.0243508132563282,0.0299449857886642,0.0271016362590968,0.0169273379435624,0.0146821263080095,0.0284655710190694,0.0201728315569097,0.0213442706729898,0.0466623708775132,0.033387099238073,0.03475771080352,0.0179363157446352
"E05000102",0,0.000457281229247455,0.00503889460617092,0.0387056281485596,0.032102622621728,0.0427808096043407,0.0426706113133644,0.0547066983572389,0.0209613075814276,0.0425661274109999,0.0547932543769056,0.0315622916000087,0.0473947388329103,0.0262209348016585,0.0192195312239337,0.0245544632867622,0.0291284799826426,0.00580505083110666,0.033408772557368,0.04327818031307,0.0413952547680854,0.0202530118080479,0.0196469836266761,0.0343169118348841,0.0165176514375038,0.0187445054117794,0.0208113211346998,0.0148452709386949,0.00756694336255745,0.00698083757623446
"E05000093",0,0,7.27696184404489e-05,0.00772989242357588,0.015478514531044,0.00824421294989826,0.00469012421942272,0.0156037961464094,0.0145997002645268,0.0173794339169047,0.022052036188959,0.00527549609965885,0.00557841634720162,0.00487992661102318,0.024343112248894,0.0121793148977694,0.0141256405303104,7.27696184226778e-05,0.004364837104887,0.00517055768235989,0.00437840088053104,0.0177706989476961,0.0146238005970851,0.00435218173253323,0.016675814976703,0.0227368430322862,0.0101815838107383,0.00473435447098082,0.00817545739937754,0.00598219638273932
