"GSS_CODE","co2","nox","pm10","pm2.5"
"E05000286",0.00828542403660541,1.48226323971605e-05,1.86033085173233e-06,1.17174654827035e-06
"E05000300",0.0113620012515597,1.3116364935175e-05,1.77243472157666e-06,2.41166785087116e-06
"E05000301",0.0130942643689758,1.69704881067483e-05,2.1628871900993e-06,2.27124707282089e-06
"E05000305",0.0133815871460541,1.79928809997167e-05,2.41697279809119e-06,2.27011374887618e-06
"E05000291",0.00750699563701455,1.16007078160606e-05,1.64289751813591e-06,1.28876971398372e-06
"E05000293",0.0237319488565591,4.88940280106515e-05,2.14097447975055e-06,2.40737710303151e-06
"E05000295",0.0125799691416886,1.52023205575672e-05,1.66841821132715e-06,2.26070080446471e-06
"E05000304",0.0153025250303894,2.22322275433878e-05,2.28613565109457e-06,2.9169140870761e-06
"E05000285",0.0120048959781447,1.40302011922888e-05,2.10078228751733e-06,2.26094936431048e-06
"E05000294",0.0149241130571223,2.12086231241724e-05,3.07717919063687e-06,2.78534897343133e-06
"E05000299",0.0128240671417016,1.78283940473696e-05,2.56770118873458e-06,2.6907693466715e-06
